sex,age,bmi,drugs,pancreas_diseases,pancreas_injury,pregnancies,family_history,prob_diabetes_0,prob_diabetes_1
0,0,0,0,0,0,0,0,0.30318459544268855,0.6968154045573115
0,0,0,0,0,0,0,1,0.77760551887604,0.22239448112396001
0,0,0,0,0,0,1,0,0.7218731365572297,0.2781268634427703
0,0,0,0,0,0,1,1,0.8610541179235786,0.13894588207642142
0,0,0,0,0,1,0,0,0.12140159225708842,0.8785984077429116
0,0,0,0,0,1,0,1,0.12624727123497745,0.8737527287650226
0,0,0,0,0,1,1,0,0.4901705367304195,0.5098294632695806
0,0,0,0,0,1,1,1,0.7721211581657283,0.22787884183427157
0,0,0,0,1,0,0,0,0.24066383176809944,0.7593361682319006
0,0,0,0,1,0,0,1,0.2196298431269269,0.7803701568730731
0,0,0,0,1,0,1,0,0.07762888098823084,0.922371119011769
0,0,0,0,1,0,1,1,0.10150557332724988,0.8984944266727501
0,0,0,0,1,1,0,0,0.7653158986051842,0.23468410139481582
0,0,0,0,1,1,0,1,0.5113613585159733,0.48863864148402675
0,0,0,0,1,1,1,0,0.7511712914095958,0.24882870859040415
0,0,0,0,1,1,1,1,0.061922914385556145,0.9380770856144438
0,0,0,1,0,0,0,0,0.20657704591039053,0.7934229540896094
0,0,0,1,0,0,0,1,0.15823568346066488,0.8417643165393353
0,0,0,1,0,0,1,0,0.5815993062499945,0.41840069375000544
0,0,0,1,0,0,1,1,0.15279482346964401,0.847205176530356
0,0,0,1,0,1,0,0,0.9831164271874708,0.016883572812529172
0,0,0,1,0,1,0,1,0.6336635290290207,0.3663364709709795
0,0,0,1,0,1,1,0,0.17913148461708495,0.820868515382915
0,0,0,1,0,1,1,1,0.11263796518215748,0.8873620348178426
0,0,0,1,1,0,0,0,0.10830501456363059,0.8916949854363695
0,0,0,1,1,0,0,1,0.27680353083065473,0.7231964691693452
0,0,0,1,1,0,1,0,0.5056798534453781,0.4943201465546221
0,0,0,1,1,0,1,1,0.80109968558692,0.19890031441307987
0,0,0,1,1,1,0,0,0.5191261523012409,0.48087384769875896
0,0,0,1,1,1,0,1,0.33466878834563635,0.6653312116543637
0,0,0,1,1,1,1,0,0.8801974088050147,0.11980259119498513
0,0,0,1,1,1,1,1,0.38122065622472395,0.6187793437752761
0,0,1,0,0,0,0,0,0.6947008650044842,0.3052991349955158
0,0,1,0,0,0,0,1,0.5060842671817471,0.49391573281825285
0,0,1,0,0,0,1,0,0.5904935088527186,0.40950649114728144
0,0,1,0,0,0,1,1,0.699952547107052,0.30004745289294804
0,0,1,0,0,1,0,0,0.604854594367235,0.39514540563276507
0,0,1,0,0,1,0,1,0.4514857668241244,0.5485142331758757
0,0,1,0,0,1,1,0,0.42807142848939145,0.5719285715106086
0,0,1,0,0,1,1,1,0.7137089455625639,0.28629105443743613
0,0,1,0,1,0,0,0,0.1041297528475633,0.8958702471524367
0,0,1,0,1,0,0,1,0.10625568280298302,0.893744317197017
0,0,1,0,1,0,1,0,0.5198116481018178,0.48018835189818215
